1	10	2013-01-23	Gabriel Ghe	5	This song is awesome	0
2	11	2013-01-23	Gabriel Ghe	4	This is pretty cool	0
3	24	2013-01-23	Brendan Blenco	3	It was ok. Not great	0
4	32	2013-01-23	Brendan Blenco	5	This is a great song!	0
5	83	2013-01-23	Kimberly N	4	One of my favorite songs by Bob Marley! 	0
6	95	2013-01-23	Kimberly N	3	Not one of his better ones, but still something to jam to! 	0
7	81	2013-01-23	Thomas Megatron	2	Lame after the first 30 second.	0
8	82	2013-01-23	Thomas Megatron	4	Nice song, great bass and intro.	0
9	49	2013-01-23	Chris Green	5	So glad I found this!	0
10	56	2013-01-23	Chris Green	5	Amazing.	0
